district_name,num_transactions,transaction_amount_rupees,year,state_name,quarter
tiruchirappalli district,8564920,16339844623.273811,2022,tamil-nadu,3
ramanathapuram district,2203852,4657168292.975974,2022,tamil-nadu,3
krishnagiri district,14932340,25680854032.527496,2022,tamil-nadu,3
cuddalore district,4680299,8326894677.322099,2022,tamil-nadu,3
kancheepuram district,16476680,22598905113.9707,2022,tamil-nadu,3
tiruppur district,17847117,25599159008.871284,2022,tamil-nadu,3
dharmapuri district,6110827,12322253266.415527,2022,tamil-nadu,3
thoothukkudi district,3019557,5929644411.408558,2022,tamil-nadu,3
thanjavur district,3516046,7247067631.582065,2022,tamil-nadu,3
madurai district,18854500,34963057317.53805,2022,tamil-nadu,3
tiruvannamalai district,4546341,8676598240.042643,2022,tamil-nadu,3
salem district,31403065,50435972371.685875,2022,tamil-nadu,3
nagapattinam district,1844678,3606593436.59481,2022,tamil-nadu,3
tirupathur district,4286229,7637805182.874846,2022,tamil-nadu,3
ariyalur district,1057782,2096516777.8551369,2022,tamil-nadu,3
chennai district,42908667,65344650467.52281,2022,tamil-nadu,3
the nilgiris district,2499125,4071937674.8550215,2022,tamil-nadu,3
erode district,9576460,15897874506.901472,2022,tamil-nadu,3
karur district,2308386,4542659398.617556,2022,tamil-nadu,3
kallakkurichi district,3031305,5829974361.302319,2022,tamil-nadu,3
viluppuram district,3531557,6179829272.664677,2022,tamil-nadu,3
pudukkottai district,2149117,4536703248.458712,2022,tamil-nadu,3
perambalur district,1062776,2063752415.6349826,2022,tamil-nadu,3
coimbatore district,43610373,63815834929.8924,2022,tamil-nadu,3
virudhunagar district,3256212,6768626547.405922,2022,tamil-nadu,3
dindigul district,5468519,11010004404.187984,2022,tamil-nadu,3
sivaganga district,2158718,4655481935.624228,2022,tamil-nadu,3
tenkasi district,1743856,3976292693.820149,2022,tamil-nadu,3
chengalpattu district,78987490,106079722725.66629,2022,tamil-nadu,3
kanniyakumari district,3457993,7370866205.985282,2022,tamil-nadu,3
tirunelveli district,3362624,6665454588.874087,2022,tamil-nadu,3
thiruvallur district,25690184,40124901027.15738,2022,tamil-nadu,3
theni district,2726196,5802007462.408134,2022,tamil-nadu,3
ranipet district,3307025,6087756257.31634,2022,tamil-nadu,3
namakkal district,5427150,10398967389.719395,2022,tamil-nadu,3
vellore district,6719587,12004282971.363426,2022,tamil-nadu,3
thiruvarur district,1168622,2533305502.950427,2022,tamil-nadu,3
tiruchirappalli district,10348183,18674871633.79885,2022,tamil-nadu,4
ramanathapuram district,2536980,5131912118.760078,2022,tamil-nadu,4
krishnagiri district,16419186,27528800881.08297,2022,tamil-nadu,4
cuddalore district,5504268,9263849009.273396,2022,tamil-nadu,4
kancheepuram district,17540782,22979273761.178146,2022,tamil-nadu,4
tiruppur district,20078625,27993817372.884705,2022,tamil-nadu,4
dharmapuri district,6657535,13284210841.009699,2022,tamil-nadu,4
thoothukkudi district,3656395,6774717593.060657,2022,tamil-nadu,4
thanjavur district,4047728,7929388570.071096,2022,tamil-nadu,4
madurai district,21930141,39075713283.65903,2022,tamil-nadu,4
tiruvannamalai district,5236271,9545432273.854141,2022,tamil-nadu,4
salem district,33193962,52189264730.86203,2022,tamil-nadu,4
nagapattinam district,1958358,3688142192.789018,2022,tamil-nadu,4
tirupathur district,4764895,8186140455.240453,2022,tamil-nadu,4
ariyalur district,1245030,2323435387.037087,2022,tamil-nadu,4
chennai district,36087169,52708969517.53118,2022,tamil-nadu,4
the nilgiris district,2829489,4520156369.4038925,2022,tamil-nadu,4
erode district,8133010,13727797354.99751,2022,tamil-nadu,4
karur district,2534064,4869161063.115521,2022,tamil-nadu,4
