district_name,num_registered_users,num_app_opens,year,state_name,quarter
perambalur district,118807,8964011,2022,tamil-nadu,2
coimbatore district,1775760,32370054,2022,tamil-nadu,2
virudhunagar district,365515,20510885,2022,tamil-nadu,2
dindigul district,464161,33849388,2022,tamil-nadu,2
sivaganga district,254519,23366867,2022,tamil-nadu,2
tenkasi district,215290,11631764,2022,tamil-nadu,2
chengalpattu district,1704864,17802897,2022,tamil-nadu,2
kanniyakumari district,390775,5454833,2022,tamil-nadu,2
tirunelveli district,356993,15300245,2022,tamil-nadu,2
thiruvallur district,2075274,26026849,2022,tamil-nadu,2
theni district,258803,15309586,2022,tamil-nadu,2
ranipet district,343090,11686387,2022,tamil-nadu,2
namakkal district,421279,16353116,2022,tamil-nadu,2
vellore district,473994,13056808,2022,tamil-nadu,2
thiruvarur district,180074,10723137,2022,tamil-nadu,2
tiruchirappalli district,763327,26991002,2022,tamil-nadu,3
ramanathapuram district,233402,25202876,2022,tamil-nadu,3
krishnagiri district,862231,58865896,2022,tamil-nadu,3
cuddalore district,586020,19393232,2022,tamil-nadu,3
kancheepuram district,1284243,13738417,2022,tamil-nadu,3
tiruppur district,1128474,35519711,2022,tamil-nadu,3
dharmapuri district,450260,37905962,2022,tamil-nadu,3
thoothukkudi district,363372,25917848,2022,tamil-nadu,3
thanjavur district,494223,16319851,2022,tamil-nadu,3
madurai district,910111,25043694,2022,tamil-nadu,3
tiruvannamalai district,543589,41520495,2022,tamil-nadu,3
salem district,1005031,42989254,2022,tamil-nadu,3
nagapattinam district,251603,14208231,2022,tamil-nadu,3
tirupathur district,352443,18292108,2022,tamil-nadu,3
ariyalur district,149084,10805808,2022,tamil-nadu,3
chennai district,2635738,8736294,2022,tamil-nadu,3
the nilgiris district,191664,13756972,2022,tamil-nadu,3
erode district,654373,24140402,2022,tamil-nadu,3
karur district,247251,25004042,2022,tamil-nadu,3
kallakkurichi district,341416,20441688,2022,tamil-nadu,3
viluppuram district,421487,21647789,2022,tamil-nadu,3
pudukkottai district,262926,33814299,2022,tamil-nadu,3
perambalur district,124952,10607700,2022,tamil-nadu,3
coimbatore district,1867655,36137898,2022,tamil-nadu,3
virudhunagar district,384815,25858491,2022,tamil-nadu,3
dindigul district,488441,38288729,2022,tamil-nadu,3
sivaganga district,267326,29111159,2022,tamil-nadu,3
tenkasi district,226380,14369177,2022,tamil-nadu,3
chengalpattu district,1791530,18710626,2022,tamil-nadu,3
kanniyakumari district,411655,6596430,2022,tamil-nadu,3
tirunelveli district,375362,18623924,2022,tamil-nadu,3
thiruvallur district,2183990,29108780,2022,tamil-nadu,3
theni district,272745,18586327,2022,tamil-nadu,3
ranipet district,361284,13305109,2022,tamil-nadu,3
namakkal district,443273,19838171,2022,tamil-nadu,3
vellore district,499041,15140968,2022,tamil-nadu,3
thiruvarur district,189247,12198983,2022,tamil-nadu,3
tiruchirappalli district,798742,32716100,2022,tamil-nadu,4
ramanathapuram district,242901,11670114,2022,tamil-nadu,4
krishnagiri district,902906,74383349,2022,tamil-nadu,4
cuddalore district,612577,30099576,2022,tamil-nadu,4
kancheepuram district,1346845,64935793,2022,tamil-nadu,4
tiruppur district,1183174,67479751,2022,tamil-nadu,4
